"BeerName","Beer_ID","ABV","IBU","Brewery_ID","Style","Ounces"
"Loki Red Ale (2013)",895,0.075,53,202,"American Amber / Red Ale",16
"Second Fiddle",1929,0.082,80,173,"American Double / Imperial IPA",16
"Hodad Porter",1858,0.055,30,173,"American Porter",16
"Czech Yo Self",2590,0.055,45,37,"Czech Pilsener",12
"FMB 101",1968,0.048,20,37,"Kölsch",12
"Sobek & Set",1664,0.08,80,257,"American Black Ale",16
"Wet Hot American Wheat Ale",1662,0.05,22,257,"American Pale Wheat Ale",16
"Fascist Pig Ale",935,0.08,72,257,"American Amber / Red Ale",16
"Easy Jack",2569,0.045,47,49,"American IPA",12
"Union Jack",2463,0.075,75,49,"American IPA",12
"805",1733,0.047,20,49,"American Blonde Ale",12
"Hinchtown Hammer Down",2284,0.05,27,17,"American Blonde Ale",16
"Half Cycle IPA",1610,0.06,104,17,"American IPA",16
"Snake Dog IPA",608,0.071,60,522,"American IPA",12
"Underdog Atlantic Lager",607,0.047,28,522,"American Pale Lager",12
"Flying Mouse 4",2566,0.07,70,51,"American IPA",12
"What the Butler Saw",2111,0.05,18,218,"Witbier",12
"1916 Shore Shiver",2110,0.069,65,218,"American IPA",12
"Vortex IPA",318,0.074,97,207,"American IPA",16
"Park",2661,0.047,19,5,"American Pale Wheat Ale",12
"Westfalia",2660,0.056,16,5,"American Amber / Red Ale",12
"KSA",2659,0.046,17,5,"Kölsch",12
"Villager",2658,0.063,42,5,"American IPA",12
"Dirty Bastard",2625,0.085,50,16,"Scotch Ale / Wee Heavy",12
"Centennial IPA",1565,0.072,65,16,"American IPA",12
"All Day IPA",1223,0.047,42,16,"American IPA",12
"El Chingon IPA",1874,0.076,73,288,"American IPA",12
"Block Party Robust Porter",1873,0.057,40,288,"American Porter",12
"Local Buzz",1872,0.052,20,288,"American Blonde Ale",12
"The Gadget",2610,0.064,90,23,"American IPA",16
"Sunbru Kölsch",2309,0.052,17,161,"Kölsch",12
"Kilt Lifter Scottish-Style Ale",1635,0.06,21,161,"",12
"Four Peaks Peach Ale",1585,0.042,9,161,"Fruit / Vegetable Beer",12
"Hop Knot IPA",358,0.067,47,161,"American IPA",12
"Kilt Lifter Scottish-Style Ale (2009)",179,0.06,21,161,"Scottish Ale",12
"Suncaster Summer Wheat",2427,0.05,28,106,"American Pale Wheat Ale",12
"Brass Knuckle Pale Ale",2425,0.057,36,106,"American Pale Ale (APA)",12
"Big Star White IPA",2424,0.07,70,106,"American White IPA",12
"Batch 69 IPA",1556,0.069,69,254,"American IPA",12
"Twisted Helles Summer Lager",1208,0.055,18,254,"Munich Helles Lager",12
"OktoberFiesta",2527,0.053,27,67,"",12
"Texicali",2526,0.065,33,67,"American Brown Ale",12
"Bat Outta Helles",2524,0.042,20,67,"Munich Helles Lager",12
"Rye Wit",2522,0.042,10,67,"Witbier",12
"Soul Doubt",2521,0.059,70,67,"American IPA",12
"Yo Soy Un Berliner",2520,0.044,5,67,"Berliner Weissbier",12
"Harvest Ale",901,0.065,35,461,"Saison / Farmhouse Ale",12
"Fremont Summer Ale",875,0.065,45,461,"American Pale Ale (APA)",12
"Universale Pale Ale",858,0.056,30,461,"American Pale Ale (APA)",12
"Interurban IPA",857,0.065,80,461,"American IPA",12
"Gateway Kolsch Style Ale",1300,0.053,32,434,"Kölsch",12
"Wee-Heavy-Er Scotch Ale",1260,0.07,24,434,"Scotch Ale / Wee Heavy",12
"13 Rebels ESB",1259,0.052,42,434,"Extra Special / Strong Bitter (ESB)",12
"Salamander Slam",2254,0.07,73,181,"American IPA",16
"No Wake IPA",2077,0.072,50,229,"American IPA",12
"Boathouse Blonde",2076,0.049,15,229,"American Blonde Ale",12
"Cedar Point",2075,0.05,26,229,"American Amber / Red Ale",12
"Clean Shave IPA",2426,0.067,70,107,"American IPA",12
"Might As Well IPL",2045,0.072,75,241,"American Pale Lager",16
"Saison Pamplemousse",1960,0.058,35,241,"Saison / Farmhouse Ale",12
"2020 IPA",1777,0.074,74,241,"American IPA",16
"Wolf Among Weeds IPA",1698,0.08,70,241,"American IPA",16
"Better Weather IPA",1641,0.094,92,241,"American IPA",16
"Point the Way IPA",1490,0.059,60,241,"American IPA",16
"Golden Road Hefeweizen",1489,0.046,15,241,"Hefeweizen",16
"Heal the Bay IPA",1399,0.068,65,241,"American IPA",16
"Point the Way IPA",1296,0.059,60,241,"American IPA",12
"Get Up Offa That Brown",991,0.055,20,241,"American Brown Ale",16
"Burning Bush Smoked IPA",750,0.08,70,241,"American IPA",16
"Wolf Among Weeds IPA (2012)",749,0.08,70,241,"American IPA",16
"Point the Way IPA (2012)",549,0.059,60,241,"American IPA",16
"Golden Road Hefeweizen (2012)",548,0.046,15,241,"Hefeweizen",16
"Vanilla Porter",2587,0.07,11,40,"American Porter",16
"Descender IPA",1109,0.07,70,465,"American IPA",12
"Sweet As Pacific Ale",1108,0.06,18,465,"American Pale Wheat Ale",12
"Good People Pale Ale",1000,0.056,36,479,"American Pale Ale (APA)",12
"Snake Handler Double IPA",312,0.093,103,479,"American Double / Imperial IPA",12
"Coffee Oatmeal Stout",311,0.06,54,479,"Oatmeal Stout",12
"Good People IPA",309,0.06,64,479,"American IPA",12
"Good People American Brown Ale",308,0.058,36,479,"American Brown Ale",12
"Mountain Rescue Pale Ale",2205,0.055,40,195,"American Pale Ale (APA)",12
"Goose Island India Pale Ale",2198,0.059,55,197,"American IPA",12
"312 Urban Pale Ale",2457,0.054,30,89,"American Pale Ale (APA)",16
"312 Urban Pale Ale",2202,0.054,30,89,"American Pale Ale (APA)",12
"312 Urban Wheat Ale",2201,0.042,18,89,"American Pale Wheat Ale",16
"312 Urban Wheat Ale",1829,0.042,18,89,"American Pale Wheat Ale",12
"312 Urban Wheat Ale (2012)",581,0.042,20,89,"American Pale Wheat Ale",12
"Beaver Logger",1383,0.052,19,421,"American Pale Lager",12
"Monarch Classic American Wheat",2129,0.043,21,214,"American Pale Wheat Ale",12
"Sir William's English Brown Ale",2127,0.049,21,214,"English Brown Ale",12
"Lakefire Rye Pale Ale",2126,0.055,35,214,"American Pale Ale (APA)",12
"Beer Agent Re-Ignition",2303,0.053,22,166,"American Blonde Ale",16
"Cherry Ale",1990,0.057,18,166,"Fruit / Vegetable Beer",16
"Bourbon Barrel Aged Coconut Porter",1702,0.056,33,166,"American Porter",16
"Great Crescent IPA",1701,0.062,60,166,"American IPA",16
"Aurora Lager",1700,0.057,27,166,"Dortmunder / Export Lager",16
"Great Crescent Blonde Ale",1699,0.053,22,166,"American Blonde Ale",16
"Great Crescent Coconut Porter",1269,0.056,33,166,"American Porter",16
"Great Crescent Oktoberfest Lager",930,0.057,25,166,"Märzen / Oktoberfest",16
"Great Crescent Brown Ale",649,0.045,36,166,"American Brown Ale",16
"Cherry Ale (1)",639,0.057,18,166,"Fruit / Vegetable Beer",16
"Aurora Lager (2011)",626,0.057,27,166,"Dortmunder / Export Lager",16
"Frosted Fields Winter Wheat",615,0.06,25,166,"American Dark Wheat Ale",16
"Great Crescent Belgian Style Wit",478,0.051,13,166,"Witbier",16
"Bourbon's Barrel Stout",455,0.075,65,166,"American Stout",16
"Great Crescent Stout",442,0.08,66,166,"English Stout",16
"Great Crescent Coconut Porter (2012)",441,0.056,33,166,"American Porter",16
"Great Crescent Dark Lager",440,0.057,23,166,"Euro Dark Lager",16
"Great Crescent Mild Ale",439,0.042,26,166,"English Dark Mild Ale",16
"Great Crescent IPA (2011)",436,0.062,60,166,"American IPA",16
"Great Crescent Blonde Ale (2011)",389,0.053,22,166,"American Blonde Ale",16
"Yeti  Imperial Stout",2644,0.095,75,7,"Russian Imperial Stout",12
"Black Star Double Hopped Golden Lager (24 oz.)",404,0.045,15,544,"American Pale Lager",24
"Black Star Double Hopped Golden Lager (12 oz.)",164,0.045,15,544,"American Pale Lager",12
"Commotion APA",1923,0.052,49,270,"American Pale Ale (APA)",12
"Chickawawa Lemonale",1604,0.05,5,366,"Fruit / Vegetable Beer",12
"Barrel Aged Farmer",1574,0.07,22,366,"American Brown Ale",16
"Dos Pistolas",1244,0.048,20,366,"Vienna Lager",12
"Owney Irish Style Red Ale",1064,0.05,30,366,"Irish Red Ale",16
"Widespread Wit",865,0.055,10,366,"Witbier",16
"Roller Dam Red Ale",864,0.054,30,366,"Irish Red Ale",16
"483 Pale Ale",863,0.053,48,366,"American Pale Ale (APA)",16
"Hop A Potamus Double Dark Rye Pale Ale",672,0.09,99,366,"Rye Beer",16
"Farmer Brown Ale",655,0.07,22,366,"American Brown Ale",16
"Big Cock IPA",540,0.07,70,366,"American IPA",16
"Oktoberfest",539,0.059,25,366,"Märzen / Oktoberfest",16
"40th Annual Bix Street Fest Copper Ale (Current)",517,0.048,25,366,"American Amber / Red Ale",16
"Redband Stout",371,0.06,36,366,"American Stout",16
"483 Pale Ale (2010)",190,0.053,48,366,"American Pale Ale (APA)",16
"Roller Dam Red Ale (2010)",189,0.054,30,366,"Irish Red Ale",16
"Pablo Beach Pale Ale",1106,0.05,30,467,"American Pale Ale (APA)",12
"Wild Trail Pale Ale",2314,0.057,44,157,"American Pale Ale (APA)",12
"Mothman Black IPA",2313,0.067,71,157,"American Black Ale",12
"Captain's Daughter",2044,0.085,69,87,"American Double / Imperial IPA",12
"Flying Jenny Extra Pale Ale",1505,0.06,54,380,"American Pale Ale (APA)",12
"Hazy Day Belgian-Style Wit",1186,0.04,20,380,"Witbier",16
"Leaning Chimney Smoked Porter",984,0.06,34,380,"American Porter",16
"Flying Jenny Extra Pale Ale (2012)",693,0.06,54,380,"American Pale Ale (APA)",12
"Flagship Ale",631,0.049,22,380,"Cream Ale",12
"Mr. Blue Sky",2375,0.045,6,125,"American Pale Wheat Ale",16
"Screamin’ Pumpkin",2142,0.05,25,125,"Pumpkin Ale",16
"Grand Trunk Bohemian Pils",2141,0.05,35,125,"Czech Pilsener",16
"El Rojo",2140,0.065,25,125,"American Amber / Red Ale",16
"Grind Line",2138,0.05,35,125,"American Pale Ale (APA)",16
"Norm's Gateway IPA",2007,0.04,55,125,"American IPA",12
"Little Red Cap",2339,0.063,43,145,"Altbier",12
"Supergoose IPA",1857,0.069,67,291,"American IPA",12
"Pursuit",2026,0.07,40,249,"American IPA",12
"Half Full Bright Ale",1361,0.052,18,249,"American Blonde Ale",12
"Orange Wheat",1016,0.046,17,477,"Fruit / Vegetable Beer",12
"Hangar 24 Helles Lager",1015,0.043,14,477,"Munich Helles Lager",12
"The Great Return",1677,0.075,70,344,"American IPA",16
"Hardywood Cream Ale",1331,0.044,18,344,"Cream Ale",12
"Capital Trail Pale Ale",1270,0.056,55,344,"American Pale Ale (APA)",12
"UFO Gingerland",2059,0.052,15,235,"Herbed / Spiced Beer",12
"The Long Thaw White IPA",1653,0.062,45,235,"American White IPA",12
"Harpoon Summer Beer",1380,0.05,28,235,"Kölsch",12
"Harpoon IPA",1379,0.059,42,235,"American IPA",12
"UFO Pumpkin",1340,0.059,20,235,"Pumpkin Ale",12
"Harpoon Octoberfest",1313,0.055,30,235,"Märzen / Oktoberfest",12
"Harpoon IPA (2012)",770,0.059,42,235,"American IPA",12
"Harpoon Summer Beer (2012)",769,0.05,28,235,"Kölsch",12
"UFO White",610,0.048,10,235,"American Pale Wheat Ale",12
"Harpoon Summer Beer (2010)",192,0.05,28,235,"Kölsch",12
"Harpoon IPA (2010)",126,0.059,42,235,"American IPA",12
"Groupe G",1895,0.076,65,281,"Belgian IPA",16
"Pt. Bonita Rustic Lager",1894,0.062,40,281,"American Pale Lager",16
"Hill 88 Double IPA",1893,0.088,77,281,"American Double / Imperial IPA",16
"Loose Cannon",990,0.072,45,480,"American IPA",12
"AARGHtoberfest!",989,0.06,30,480,"Märzen / Oktoberfest",12
"Grazias",1351,0.063,30,424,"Cream Ale",16
"Habitus IPA",1346,0.08,86,424,"American IPA",16
"Ex Umbris Rye Imperial Stout",904,0.099,85,424,"American Double / Imperial Stout",16
"The Golden One",2295,0.063,21,169,"American Pilsner",12
"The Power of Zeus",2294,0.07,68,169,"American Pale Ale (APA)",12
"Tonganoxie Honey Wheat",824,0.044,22,501,"American Pale Wheat Ale",12
"The 12th Can™",1615,0.045,32,363,"American Pale Ale (APA)",16
"Hilliard's Pils",889,0.055,34,363,"Czech Pilsener",16
"Hilliard's Blonde",724,0.049,20,363,"American Blonde Ale",16
"Hilliard's Amber Ale",497,0.055,60,363,"American Amber / Red Ale",16
"Hilliard's Saison",496,0.066,30,363,"Saison / Farmhouse Ale",16
"Provision",1835,0.042,25,298,"Saison / Farmhouse Ale",12
"One Nut Brown",1834,0.047,28,298,"American Brown Ale",12
"Hop Farm IPA",1833,0.058,45,298,"American IPA",12
"Double D Blonde",2195,0.049,20,199,"American Blonde Ale",12
"Festeroo Winter Ale",1605,0.078,60,199,"American Strong Ale",12
"Proxima IPA",1543,0.063,70,199,"American IPA",12
"Double D Blonde (2013)",1390,0.049,20,199,"American Blonde Ale",12
"541 American Lager",1354,0.048,13,199,"American Pale Lager",12
"Alphadelic IPA",1353,0.065,90,199,"American IPA",12
"Alphadelic IPA (2011)",499,0.065,90,199,"American IPA",12
"Double D Blonde (2011)",498,0.049,20,199,"American Blonde Ale",12
"Alteration",502,0.051,40,396,"Altbier",12
"Pale Dog",501,0.06,50,396,"American Pale Ale (APA)",12
"Totally Radler",2482,0.027,21,81,"Radler",16
"Nonstop Hef Hop",2400,0.039,20,81,"American Pale Wheat Ale",16
"Nonstop Hef Hop",2399,0.039,20,81,"American Pale Wheat Ale",16
"Nonstop Hef Hop",2398,0.039,20,81,"American Pale Wheat Ale",16
"Nonstop Hef Hop",2397,0.039,20,81,"American Pale Wheat Ale",16
"Nonstop Hef Hop",2396,0.039,20,81,"American Pale Wheat Ale",16
"Nonstop Hef Hop",2395,0.039,20,81,"American Pale Wheat Ale",16
"Nonstop Hef Hop",2394,0.039,20,81,"American Pale Wheat Ale",16
"Nonstop Hef Hop",2393,0.039,20,81,"American Pale Wheat Ale",16
"Nonstop Hef Hop",2392,0.039,20,81,"American Pale Wheat Ale",16
"Nonstop Hef Hop",2391,0.039,20,81,"American Pale Wheat Ale",16
"Nonstop Hef Hop",2390,0.039,20,81,"American Pale Wheat Ale",16
"Nonstop Hef Hop",2389,0.039,20,81,"American Pale Wheat Ale",16
"Rise Up Red",2388,0.058,60,81,"American Amber / Red Ale",16
"Survival Stout",2200,0.058,35,81,"American Stout",16
"Hopworks IPA",2199,0.066,75,81,"American IPA",16
"Abominable Winter Ale",2193,0.073,70,81,"American Strong Ale",16
"Pigwar White India Pale Ale",1398,0.06,60,81,"American White IPA",16
"Rise-Up Red (2014)",1085,0.058,60,81,"American Amber / Red Ale",16
"Abominable Winter Ale (2012)",916,0.073,70,81,"American Strong Ale",16
"HUB Lager",658,0.051,32,81,"Czech Pilsener",16
"Hopworks IPA (2012)",653,0.066,75,81,"American IPA",16
"Laka Laka Pineapple",2384,0.051,17,121,"Hefeweizen",12
"Let It Ride IPA",1903,0.068,90,278,"American IPA",12
"Stir Crazy Winter Ale",1691,0.065,22,278,"Winter Warmer",12
"Sweet Yamma Jamma Ale",1555,0.05,10,278,"Fruit / Vegetable Beer",12
"Shenanigans Summer Ale",1115,0.046,27,278,"American Pale Wheat Ale",12
"Midnight Ryder",729,0.065,80,278,"American Black Ale",12
"Day Tripper Pale Ale",728,0.054,45,278,"American Pale Ale (APA)",12
"Oklahoma Suks",2350,0.048,32,141,"American Amber / Red Ale",12
"Power & Light",2301,0.055,42,141,"American Pale Ale (APA)",12
"White Rabbit",1904,0.059,27,141,"Witbier",12
"Tribute",2609,0.058,58,24,"American Pale Ale (APA)",12
"Infamous IPA",2038,0.07,75,243,"American IPA",12
"Hijack",1774,0.055,20,243,"Cream Ale",12
"Jon Boat Coastal Ale",559,0.045,20,528,"American Blonde Ale",12
"I-10 IPA",558,0.068,55,528,"American IPA",12
"People's Pale Ale",553,0.053,28,528,"American Pale Ale (APA)",12
"House Lager",2673,0.052,18,3,"Keller Bier / Zwickel Bier",16
"Leisure Time",2672,0.048,15,3,"American Pale Lager",12
"Excess IPL",2671,0.072,80,3,"American India Pale Lager",16
"Hoponius Union",2670,0.067,65,3,"American India Pale Lager",12
"Calyptra",2669,0.049,45,3,"American India Pale Lager",12
"Thunder Ann",1793,0.055,37,313,"American Pale Ale (APA)",12
"Weize Guy",2060,0.05,15,234,"Hefeweizen",12
"Fox Tail Gluten Free Ale",469,0.05,50,234,"American Pale Ale (APA)",12
"Hop Box Imperial IPA",468,0.093,90,234,"American Double / Imperial IPA",12
"Joseph James American Lager",467,0.052,15,234,"American Adjunct Lager",12
"Lewbricator Wheat Dopplebock",2162,0.075,24,209,"Doppelbock",12
"Weisse Versa (2012)",2374,0.052,16,126,"Hefeweizen",12
"Mother in Lager",1560,0.058,25,126,"Munich Dunkel Lager",12
"Weekend Warrior Pale Ale",1557,0.055,40,126,"American Pale Ale (APA)",12
"Karbachtoberfest",1458,0.055,25,126,"Märzen / Oktoberfest",12
"Love Street Summer Seasonal (2014)",1235,0.047,20,126,"Kölsch",12
"Barn Burner Saison",1068,0.066,20,126,"Saison / Farmhouse Ale",12
"Rodeo Clown Double IPA",666,0.095,85,126,"American Double / Imperial IPA",12
"Sympathy for the Lager",465,0.049,45,126,"American Amber / Red Lager",12
"Weisse Versa",464,0.052,15,126,"Hefeweizen",12
"Hopadillo India Pale Ale",463,0.066,70,126,"American IPA",12
"KelSo Nut Brown Lager",1678,0.057,19,343,"Euro Dark Lager",12
"KelSo India Pale Ale",1572,0.06,64,343,"American IPA",12
"KelSo Pilsner",1348,0.055,23,343,"Czech Pilsener",12
"Peninsula Brewers Reserve (PBR)",1187,0.05,15,459,"American Blonde Ale",12
"Cold Smoke Scotch Ale (2007)",760,0.065,11,511,"Scotch Ale / Wee Heavy",16
"Double Haul IPA (2009)",759,0.065,65,511,"American IPA",16
"Double Haul IPA (2006)",758,0.065,65,511,"American IPA",16
"Eddy Out Pale Ale",87,0.055,50,511,"American Pale Ale (APA)",16
"Double Haul IPA",86,0.065,65,511,"American IPA",16
"Cold Smoke Scotch Ale",85,0.065,11,511,"Scotch Ale / Wee Heavy",16
"King Street IPA",1667,0.06,70,103,"American IPA",12
"King Street Hefeweizen",1666,0.057,10,103,"Hefeweizen",12
"India Pale Ale",2460,0.063,65,88,"American IPA",16
"Blackberry Wheat",2459,0.048,11,88,"American Pale Wheat Ale",16
"Longboard Island Lager",1274,0.046,18,440,"American Amber / Red Lager",24
"Longboard Island Lager",1220,0.046,18,440,"American Amber / Red Lager",16
"Longboard Island Lager",1070,0.046,18,440,"American Amber / Red Lager",12
"Longboard Island Lager",590,0.046,18,440,"American Amber / Red Lager",12
"Choc Beer (2003)",781,0.04,9,506,"American Dark Wheat Ale",12
"A Slice of Hefen",1741,0.054,15,333,"Hefeweizen",16
"Elevated IPA",664,0.072,100,333,"American IPA",16
"Rumspringa Golden Bock",392,0.066,30,546,"Maibock / Helles Bock",12
"Lancaster German Style Kölsch",195,0.048,28,546,"Kölsch",12
"Laughing Dog Cream Ale",2108,0.05,12,219,"Cream Ale",12
"Two-One Niner",1397,0.048,9,219,"American Pilsner",12
"Laughing Dog IPA",1396,0.064,66,219,"American IPA",12
"Madra Allta",1675,0.064,95,346,"American IPA",12
"Duluchan India Pale Ale",1249,0.056,70,346,"American IPA",12
"Getaway",2036,0.052,30,245,"German Pilsener",16
"Farm Girl Saison",1168,0.06,30,245,"Saison / Farmhouse Ale",16
"Adam's Stout",1832,0.058,40,299,"American Stout",12
"American Hero",1688,0.057,42,299,"American Amber / Red Ale",12
"Schweet Ale",1687,0.052,20,299,"Fruit / Vegetable Beer",12
"Irregardless IPA",1686,0.065,75,299,"American IPA",12
"Peach Pale Ale",2434,0.057,40,105,"American Pale Ale (APA)",12
"Peacemaker Pale Ale",2329,0.057,47,150,"American Pale Ale (APA)",12
"Shotgun Betty",2327,0.058,11,150,"Hefeweizen",12
"Sweet Josie",2326,0.061,30,150,"American Brown Ale",12
"Long Trail IPA",1926,0.059,42,269,"English India Pale Ale (IPA)",12
"Long Trail Ale",1924,0.046,30,269,"American Amber / Red Ale",12
"Double Bag",1090,0.072,33,269,"Altbier",16
"Blackbeary Wheat",574,0.04,8,269,"Fruit / Vegetable Beer",12
"Long Trail Ale (1)",573,0.046,30,269,"Altbier",12
"Gose",2584,0.046,8,42,"Gose",16
"Vermont Pilsner",2583,0.048,20,42,"German Pilsener",16
"Face Plant IPA",1309,0.062,65,431,"American IPA",12
"Rhino Chasers Pilsner",1308,0.056,55,431,"Czech Pilsener",12
"Slow Hand Stout",1571,0.052,29,378,"American Stout",16
"Pub Ale",2033,0.038,18,246,"English Dark Mild Ale",12
"Ballistic Blonde",2032,0.051,31,246,"Belgian Pale Ale",12
"Lumberyard Pilsner",1153,0.053,20,159,"American Pilsner",12
"Mac's Scottish Style Amber Ale (2000)",961,0.051,32,486,"American Amber / Red Ale",12
"Sol Drifter",2209,0.043,18,92,"American Blonde Ale",12
"The Great Pumpcan",1994,0.079,18,92,"Fruit / Vegetable Beer",16
"LIFT",1816,0.047,11,92,"Kölsch",12
"SPRYE",1815,0.05,40,92,"American Pale Ale (APA)",12
"Psychopathy",1126,0.069,70,92,"American IPA",12
"Gnarly Brown",1125,0.07,32,92,"American Brown Ale",12
"Happy Amber",1124,0.06,30,92,"American Amber / Red Ale",12
"#9",1813,0.051,20,304,"Fruit / Vegetable Beer",16
"Elder Betty",1113,0.055,13,304,"Hefeweizen",12
"#9",360,0.051,20,304,"Fruit / Vegetable Beer",12
"Belgian Style Session Ale",1625,0.045,21,357,"Belgian Pale Ale",12
"Summer Paradise",1484,0.05,18,357,"American Pale Wheat Ale",12
"Monk from the 'Yunk",1356,0.09,30,357,"Tripel",12
"Schuylkill Punch",1355,0.06,14,357,"Fruit / Vegetable Beer",12
"Dreamin' Double IPA",1334,0.085,85,357,"American Double / Imperial IPA",12
"Chaotic Double IPA",1674,0.099,93,347,"American Double / Imperial IPA",12
"Manzanita IPA",1673,0.08,88,347,"American IPA",12
"Riverwalk Blonde Ale",1672,0.06,25,347,"American Blonde Ale",12
"Gillespie Brown Ale",1671,0.095,49,347,"American Brown Ale",12
"Manzanita Pale Ale",1670,0.066,44,347,"American Pale Ale (APA)",12
"River House",2308,0.05,20,162,"Saison / Farmhouse Ale",16
"Pretzel Stout",2268,0.065,47,162,"American Stout",16
"Rubberneck Red",2197,0.05,35,162,"American Amber / Red Ale",16
"Our Legacy IPA",1831,0.065,60,300,"American IPA",12
"Our Legacy IPA",1135,0.065,60,300,"American IPA",16
"Blueberry Blonde Ale",773,0.05,12,300,"American Blonde Ale",12
"Lahaina Town Brown",1578,0.051,20,376,"American Brown Ale",12
"Sobrehumano Palena'ole",690,0.06,24,376,"American Amber / Red Ale",12
"La Perouse White",547,0.05,12,376,"Witbier",12
"Flyin' HI.P.Hay",435,0.068,68,376,"American IPA",12
"Mana Wheat",313,0.055,15,376,"American Pale Wheat Ale",12
"Bikini Blonde Lager",33,0.045,18,376,"Munich Helles Lager",12
"CoCoNut Porter",32,0.057,30,376,"American Porter",12
"Big Swell IPA",31,0.062,65,376,"American IPA",12
"Pit Stop Chocolate Porter",1237,0.037,34,449,"American Porter",12
"Pace Setter Belgian Style Wit",1236,0.037,21,449,"Witbier",12
"Back in the Saddle Rye Pale Ale",1047,0.037,53,449,"American Pale Ale (APA)",12
"Tsunami IPA",2186,0.072,75,204,"American IPA",19.2
"Tsunami IPA",2185,0.072,75,204,"American IPA",12
"Humpback Blonde Ale",2184,0.042,22,204,"American Blonde Ale",12
"Hawaiian Crow Porter",2178,0.052,27,204,"American Porter",12
"Volcano Red Ale",2177,0.052,23,204,"American Amber / Red Ale",12
"Mauna Kea Pale Ale",2176,0.054,42,204,"American Pale Ale (APA)",12
"Shark Bait",1508,0.053,11,394,"Fruit / Vegetable Beer",12
"Gator Tail Brown Ale",1507,0.053,30,394,"American Brown Ale",12
"Miami Vice IPA",1506,0.071,62,394,"American IPA",12
"Big Rod Coconut Ale",1325,0.053,16,394,"American Blonde Ale",12
"Pleasure Town",2093,0.063,61,224,"American IPA",12
"Pleasure Town IPA",1814,0.063,61,224,"American IPA",12
"Snowshoe White Ale",587,0.048,12,224,"Witbier",12
"Kodiak Brown Ale",586,0.05,24,224,"American Brown Ale",12
"Sockeye Red IPA",434,0.057,70,224,"American IPA",12
"Habitus (2014)",2668,0.08,100,4,"American Double / Imperial IPA",16
"Solis",2667,0.075,85,4,"American IPA",16
"Jucundus",2666,0.06,24,4,"Wheat Ale",16
"Habitus",2664,0.08,100,4,"American Double / Imperial IPA",16
"Grazias",2663,0.063,30,4,"Cream Ale",16
"Claritas",2662,0.058,28,4,"Kölsch",16
"Daft Funk",2530,0.043,8,66,"Berliner Weissbier",24
"Hop Freak",1884,0.087,80,285,"American Double / Imperial IPA",16
"Louie's Demise Amber Ale",1272,0.051,24,285,"American Amber / Red Ale",16
"Hop Happy",1080,0.075,51,285,"American IPA",16
"Booyah Farmhouse Ale",932,0.065,20,285,"Saison / Farmhouse Ale",16
"Flaming Damsel Lager (2010)",172,0.048,18,285,"Vienna Lager",16
"Louie’s Demise Immort-Ale (2010)",171,0.051,24,285,"American Amber / Red Ale",16
"Mission IPA",2441,0.068,66,99,"American IPA",32
"El Conquistador Extra Pale Ale",1460,0.048,44,99,"American Pale Ale (APA)",32
"Shipwrecked Double IPA",1459,0.092,75,99,"American Double / Imperial IPA",32
"City of the Sun",2159,0.075,85,210,"American IPA",16
"Booming Rollers",2157,0.068,75,210,"American IPA",16
"Oneida",2156,0.052,50,210,"American Pale Ale (APA)",16
"Aurora",2154,0.067,75,210,"American Amber / Red Ale",16
"Lomaland",1495,0.055,30,210,"Saison / Farmhouse Ale",16
"Fortunate Islands",1494,0.047,46,210,"American Pale Wheat Ale",16
"Black House",1493,0.058,40,210,"American Stout",16
"Blazing World",1492,0.065,115,210,"American Amber / Red Ale",16
"Montauk Summer Ale",1907,0.056,28,277,"American Blonde Ale",12
"Driftwood Ale",1906,0.06,49,277,"Extra Special / Strong Bitter (ESB)",12
"When Helles Freezes Over",1756,0.056,18,327,"Munich Helles Lager",12
"Morgan Street Oktoberfest",1617,0.049,24,327,"Märzen / Oktoberfest",12
"Honey Wheat",1052,0.047,14,327,"American Pale Wheat Ale",12
"Black Bear Dark Lager",1051,0.046,24,327,"Schwarzbier",12
"Golden Pilsner",1046,0.05,35,327,"German Pilsener",12
"Cali Creamin'",2413,0.052,21,112,"Cream Ale",12
"Towhead",2237,0.052,21,189,"American Blonde Ale",12
"Lil' Helper",2208,0.07,70,189,"American IPA",12
"Mustang Golden Ale",421,0.053,10,367,"American Blonde Ale",12
"Washita Wheat",420,0.053,14,367,"American Pale Wheat Ale",12
"Gansett Light",2345,0.037,10,144,"Light Lager",16
"Bohemian Pils",2224,0.052,30,144,"American Pilsner",16
"Autocrat Coffee Milk Stout",1775,0.053,30,144,"Milk / Sweet Stout",16
"Narragansett Bohemian Pilsner",1291,0.086,35,144,"German Pilsener",16
"Narragansett Summer Ale",1093,0.042,24,144,"American Pale Wheat Ale",12
"Narragansett Cream Ale",580,0.05,22,144,"Cream Ale",16
"Narragansett Summer Ale",403,0.042,24,144,"American Pale Wheat Ale",16
"Narragansett Porter",316,0.07,22,144,"American Porter",16
"Narragansett Bock",315,0.065,32,144,"Bock",16
"Narragansett Fest Lager",314,0.055,15,144,"Märzen / Oktoberfest",16
"Old Grogham Imperial India Pale Ale",1265,0.085,86,388,"American Double / Imperial IPA",16
"Old Grogham Imperial India Pale Ale (2012)",747,0.085,86,388,"American Double / Imperial IPA",16
"Wick For Brains",1705,0.061,11,338,"Pumpkin Ale",12
"Nebraska India Pale Ale",1148,0.065,65,338,"American IPA",12
